Lon,Lat,Year,Month,Day,Mag,Depth,Hour,Minute,Second,eventID,pvalue,HFassoc,assocwells
-100.886,32.9477,2010,8,13,2.4,5,15,3,15.37,None,NaN,0,
-100.9016,32.8665,2010,8,14,1.7,5,8,27,31.03,None,NaN,0,
-100.8974,32.9491,2010,8,14,2.1,5,10,49,3.69,None,NaN,0,
-100.8963,32.9517,2010,8,14,2.3,5,19,49,29.52,None,NaN,0,
-100.8769,32.9557,2010,8,15,1.7,5,12,55,43.84,None,NaN,0,
-100.8949,32.8802,2010,8,22,2,5,0,27,22.34,None,NaN,0,
-100.8905,32.9422,2010,8,25,2.8,5,2,5,14.22,None,NaN,0,
-100.4522,32.2458,2010,8,26,2.3,9.7,17,45,21,600324659,NaN,0,
-100.8957,32.8925,2010,8,28,2.1,5,13,35,31.98,None,NaN,0,
-100.8388,32.9755,2010,8,29,1.9,5,5,34,20.25,None,NaN,0,
-100.8982,32.9493,2010,8,29,2.6,5,12,48,36.92,None,NaN,0,
-100.9003,32.9482,2010,8,31,2.1,5,6,11,41.17,None,NaN,0,
-100.9103,32.9273,2010,8,31,2.8,5,15,56,5.31,None,NaN,0,
-100.8948,32.8958,2010,9,1,1.9,5,10,58,24.04,None,NaN,0,
-100.895,32.8945,2010,9,1,1.9,5,11,29,40.33,None,NaN,0,
-100.8859,32.9477,2010,9,1,2.6,5,16,53,58.73,None,NaN,0,
-100.8373,32.9773,2010,9,3,2.5,5,3,34,47.43,None,NaN,0,
-100.8982,32.9507,2010,9,30,2.4,5,3,44,24.26,None,NaN,0,
-100.899,32.9534,2010,10,2,2.6,5,20,37,49.46,None,NaN,0,
-100.9007,32.9538,2010,10,9,3.1,5,7,42,26.65,None,NaN,0,
-100.8975,32.9563,2010,10,9,2,5,9,13,0.82,None,NaN,0,
-100.9002,32.9567,2010,10,9,2.1,5,15,51,56.6,None,NaN,0,
-100.8772,32.9005,2010,10,10,2.7,5,8,20,0.68,None,NaN,0,
-100.847,32.9737,2010,10,10,2.1,5,10,27,48.97,None,NaN,0,
